runTimes,nodeCounts
1.941737175,421
25.62180519,1650
12.88824534,1073
40.92593145,1979
13.08547282,1151
30.0307126,1943
4.559782743,634
11.25872421,1008
8.412501097,695
5.068791151,693
2.29233408,435
2.198112249,429
29.24444866,1647
19.34035945,1363
10.37147331,1040
35.77188778,1937
43.36379766,1751
31.68033123,1587
28.78620434,1665
3.67430234,605
