runTimes,nodeCounts
2.04792285,421
4.260853767,1650
3.007294178,1073
4.701648712,1979
2.813587189,1151
6.451622248,1943
1.808742285,634
2.941557646,1008
2.097362995,695
2.099567413,693
0.927000523,435
1.62445116,429
5.303002834,1647
3.592977762,1363
2.644050837,1040
6.022531986,1937
7.159900427,1751
4.129483223,1587
5.473663092,1665
2.550873756,605
